3196	2791
1099	3558
138	3781
43	2152
1079	5128
3039	3823
69	3064
1900	2212
138	2388
3620	3231
3196	2501
5590	3139
2339	2274
65	661
3392	2298
138	5651
1052	994
3744	3339
467	918
3636	5608
2029	3434
4094	2648
2937	2236
5490	1869
4328	3939
1075	924
3468	1326
1032	3746
211	1437
5141	373
1620	4025
2804	3080
3043	3056
5590	2875
59	1170
3196	4776
1083	1159
3147	2135
4036	4202
2286	2332
2245	2448
743	3329
3052	2848
5516	1452
2873	2912
3427	3337
3837	4098
138	1077
4332	2187
2947	1885
600	3468
4634	401
3196	806
3392	4544
1780	3446
1100	3744
2931	1863
115	4282
2798	2898
4634	256
106	1484
1096	1851
909	10
3392	1378
508	1011
5341	2172
43	1950
2176	5550
963	1857
363	3401
1991	2937
1672	115
858	1349
625	598
4113	3257
1620	2917
2194	2081
138	1609
5011	1032
5189	1993
138	3237
115	4425
2339	1932
1326	4019
2897	1930
2324	2068
553	2102
2248	2974
1703	575
69	2016
4634	964
3196	345
2039	5520
5003	5118
1032	5175
3200	3917
115	207
3332	4759
3083	2103
138	3606
2287	1221
1805	5429
132	2528
2935	2809
1086	865
3908	2089
306	4108
531	4541
1427	4007
4634	3453
5239	822
1508	2330
2724	4662
3134	5381
988	5286
1990	2062
106	1704
1083	90
2844	3038
56	2769
115	410
1566	3529
2356	5633
5620	1342
73	5482
5050	680
5290	3195
3344	4277
2954	5537
5513	1508
1864	3644
2100	4338
5193	2380
1149	70
2426	2068
4634	1370
1730	1717
2811	2931
2260	2027
1927	2329
2289	2873
4634	3889
2730	1271
1955	2128
5214	4164
4491	4248
4634	1229
1086	1752
1346	2065
2306	1863
2804	3180
287	5000
2288	3199
4634	3744
484	4474
955	907
2806	2077
1177	5526
5550	2013
2392	2857
3090	3085
138	1094
3534	2028
668	5346
5648	1408
3053	3249
2387	3171
3196	1243
5590	2081
2361	3171
3196	3495
3534	2123
4556	1103
4634	501
2874	2043
4047	182
5490	3032
2846	2121
1804	3239
1717	1730
3000	2425
5094	4354
4634	356
918	2049
1967	2062
2821	2013
439	306
2329	439
4857	4861
2103	3077
4615	2400
3188	2937
4634	151
525	3705
1605	2546
1456	1819
1800	3581
1983	2232
4417	2697
5655	2259
2922	3176
